This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	Translation MALTESE	Initial of translator	Word check. <168	mt
		OUI. Il me reste plus que ça. Je tape comme un bourrin sur ce truc et le compteur s’arrête. J'entends la serrure de la porte qui s'ouvre Je rentre doucement...	YES. 'Ave it! I keep battering this thing and the meter stops. I hear the lock on the door click open. I enter slowly...	CLIVE CK	120	SÍ. ¡Lo tengo! Golpeo como un burro esta cosa y el contador se detiene. Escucho la cerradura que se abre, entro lentamente...	trocoloco miguelsky robcfg	125	SI`. Mi è rimasto solo questo! Prendo a calci questa cosa e il contatore si ferma. Sento la serratura della porta che si apre. Entro lentamente...	Mr. DVG	146	ΝΑΙ. Αυτό είναι που απομένει. Κοπανάω λυσσασμενα το μαραφέτι και ο μετρητής σταματά. Ακούω την κλειδαριά της πόρτας να ανοίγει. Μπαίνω αργά... 	msg/SK	143	JA. Das ist es. Ich schlage ungeduldig gegen das Ding und der Zähler stoppt. Ich höre, wie sich das Türschloss öffnet. Ich gehe langsam hindurch...	Yth	147	OK, nie mam wyboru! Zaczynam walić w urządzenie i licznik zatrzymuje się. Słyszę, że blokada drzwi odpuszcza i zamek otwiera się! Ufff! Powoli tam wchodzę...	PS3 SP	157	IVA. Għadni aktar minn dak. Tip I bħal NAG fuq din il-ħaġa u l-waqfiet counter. Nisma l-lock-bieb li jiftaħ mmur bil-mod ...		124	Loading...
deaths		Je cogne sur le système et tout M'EXPLOSE à la gueule. Y a un moment donné où tu réfléchis pine d’huître ? Comment j'arrive à te supporter dis-moi ?	I hit the system and everything EXPLODES in my face. Is there a time when you THINK, oyster dick? How do I put up with you?	CLIVE CK	123	Golpeo el sistema y todo me EXPLOTA en la cara. ¿En algún momento te da por pensar, monguer? No se cómo te soporto.	trocoloco miguelsky robcfg	115	Ho colpito il sistema e tutto mi è ESPLOSO in faccia! E se tu non pensassi sempre alla fica? Non ti sopporto più, davvero!	Mr. DVG	122	Κοπανάω το σύστημα και ΕΚΡΗΓΝΥΤΑΙ όλο στη μούρη μου. Βαλε το κωλομυαλό σου να σκεφτείς, μαλακοκαύλη. Πώς σε αντέχω;	msg/SK	115	Ich schlage gegen das System und prompt EXPLODIERT es mir ins Gesicht. Denkst Du auch mal nach, Hohlbirne? Kann ich dabei helfen?	Yth	129	Walę mocno w to urządzenie i WYBUCHA mi ono prosto w twarz. Pytanie - czy zdarza Ci się czasem POMYŚLEĆ, ptasi móżdżku? Powiedz, jak ja z Tobą wytrzymuję?	PS2 SP2	154	I hit fuq is-sistema u kull EXPLOSE lili fil-wiċċ. Hemm punt fejn taħseb arżnu gajdra? Kif nista 'stand inti tgħidli?		117	Loading...
		Je pense pas que ce soit le bon moment pour couper des fils. D'ailleurs j'ai fait un court-jus avec la pince, y a tout qui pète. J'ai la tête à moitié ARRACHEE.	I don’t think this is the right time to cut wires. Besides,\n I made a short with the pliers.\n Everything explodes.\n My head is TORN in half.	CLIVE CK	143	No creo que sea momento de cortar cables. Además, hago un corto con las pinzas, todo explota. Tengo la cabeza medio ARRANCADA.	trocoloco miguelsky robcfg	126	Non credo che sia il momento giusto per tagliare i cavi. Inoltre, ho fatto un corto con le pinze e tutto è esploso. Ho la testa STRAPPATA per metà!	Mr. DVG	147	Δεν νομίζω οτι είναι η κατάλληλη στιγμή να κόψω καλώδια. Ασε που το βραχυκύκλωσα μάλλον με την πένσα, οπότε όλα ανατινάζονται. Το κεφάλι μου ΣΚΙΖΕΤΑΙ στη μέση. 	msg/SK	160	Ist wohl nicht der passende Moment, Drähte kappen zu wollen. Die Zange verursacht einen Kurzschluss, alles explodiert. Mein Kopf wird halb WEGGERISSEN.	Yth	151	Nie sądzę, że jest to właściwy moment, aby przecinać te kable. Poza tym, zrobiłem zwarcie szczyp--cami i wszystko wybucha. Moja głowa jest w połowie ROZPRUTA.	PS2 SP	158	Jien ma naħsibx li dan huwa l-ħin id-dritt lit-tifel maqtugħa. Barra minn hekk, I għamel meraq qasir bil-tnalji, huma farts kollha. nofs my head minfuħa off.		157	Ma naħsibx li huwa l-ħin it-tajjeb biex taqta 't-tfal. Barra minn hekk, jien għamilt meraq qasir bil-klipp, hemm dak kollu li fart. Għandi nofs tajer.
	"baka" is a japanese word for "stupid"	Je tente d'arracher le fil à la main, mais les vibrations font EXPLOSER le système. Ca m'arrache la main et la moitié de la tête. Un peu de subtilité BAKA !	I try to pull the wire out by hand, but the vibrations make the system EXPLODE. It tears off my hand and half my head. Have little subtlety, BAKA!	CLIVE CK	146	Intento arrancar el cable con la mano, pero las vibraciones DETONAN el sistema. Me deja sin mano y la mitad de la cabeza. ¡Un poco de sutileza, BAKA!	trocoloco miguelsky robcfg	149	Cerco di tirare il cavo a mano, ma le vibrazioni fanno ESPLODERE il sistema. Mi si strappa la mano e metà testa. La delicatezza non ti appartiene, IDIOTA!	Mr. DVG farox	154	Προσπαθώ να τραβήξω το καλώδιο με το χέρι, αλλά οι κραδασμοί κάνουν το σύστημα να ΕΚΡΑΓΕΙ. Μου κόβει το χέρι και το μισό μου κεφάλι. Πίο προσεκτικά, βλάκα!	msg/SK	155	Ich versuche, den Draht von Hand herauszuziehen, ecke aber an und der Kasten EXPLODIERT. Es reißt mir die Hand und den halben Kopf ab. Etwas behutsamer, BAKA!	Yth	158	Próbuję wyrwać kable rękami, ale potrząsanie pudełkiem powoduje WYBUCH systemu. Urywa mi rękę i pół głowy. Trochę delikatniej, BAKA!	PS2 SP	132	Nipprova li snatch l-idejn fuq, iżda l-vibrazzjonijiet huma jisplodu-sistema. Hija tiċrit lili idejn u nofs tar-ras. A ftit subtlety BAKA!		138	Nipprova nqatta 'l-wajer bl-idejn, imma l-vibrazzjonijiet jisplodu s-sistema. Hija sares naħa tiegħi u nofs tar-ras. Ftit baka subtlety!
		NON. Pas le bon fil. Tout explose. BOUMMMM ! Evidemment c'est ma cervelle qui est sur le mur pas la tienne. T'as le bon rôle ma crotte. On échange nos places ?	NO. Wrong wire. Everything explodes. BOOM! Of course my brain is on the wall not yours. You have the right role, you little shit. Wanna switch places?	CLIVE CK	150	NO. Cable equivocado. Todo explota. ¡BUMMMM! Claro, que es mi cerebro el que está en la pared, no el tuyo. Tienes el rol correcto, mierdecilla. ¿Hacemos un cambio?	trocoloco miguelsky robcfg	163	NO! Era il cavo sbagliato. Tutto esplode. BOOM! Ovviamente il cervello sul muro è il mio, non il tuo! Sei un privilegiato, brutta merda! Facciamo cambio?	Mr. DVG	153	ΌΧΙ. Λάθος καλώδιο. Όλα ανατινά--ζονται. ΜΠΑΜ! Φυσικά, τα δικά μου μυαλά στολίζουν τον τοίχο, όχι τα δικά σου. Είσαι στον σωστό ρόλο, σκατιάρη. Αλλάζουμε θέσεις;	msg/SK	161	NEIN. Falscher Draht! Explosion: BUMM! Natürlich mein Hirn an der Wand, nicht Deins. Du hast die richtige Rolle, Du Pisser. Wollen wir die Plätze tauschen?	Yth	155	NIE. Niewłaściwy kabel. Wszystko wybucha. BUMMM! Oczywiście, to mój mózg jest na ścianie, a nie Twój. Masz prostą rolę, po drugiej stro--nie ekranu. Może się zamienimy?	PS2 SP	168	NO. Mhux l-wajer dritt. tisplodi Kollox. BOUMMMM! Ovvjament huwa moħħ tiegħi li hija fuq il-ħajt mhux tiegħek. Inti ltqajna l-irwol dritt shit tiegħi. Aħna jiskambjaw sedili tagħna?		181	Le. Mhux il-ħajt tajjeb. Kollox jisplodi. BOUMMM! Ovvjament huwa moħħ tiegħi li huwa fuq il-ħajt mhux tiegħek. Għandek ir-rwol it-tajjeb il-muck tiegħi. Aħna niskambjaw il-postijiet tagħna?
end	"boursemolle" is old french insult, means "soft testicles"	AIE. T'as pas été assez rapide ça m'a fait trembler quand j'ai coupé. Y'a tout qui explose ! J'en ai un peu marre de crever à cause d'une boursemolle !	AIE. You weren’t fast enough\n and made me tremble when I cut.\n Everything is exploding!\n I’m a little tired of dying\n because of YOU, numbnuts!	CLIVE CK	147	AY. No fuiste lo suficientemente rápido, me asusté cuando corté. ¡Todo explota! ¡Estoy un poco cansado de morir por tu culpa!	trocoloco miguelsky robcfg	125	ARGH! Non sei stato abbastanza veloce! Ho sentito tremare quando ho tagliato. Esplode tutto! Sono un pò stanco di morire a causa di un caprone come te!	Mr. DVG farox	151	ΩΧ. Δεν ήσουν αρκετά γρήγορος και έτσι έτρεμα όσο έκοβα. Όλα ανατινάζονται! Έχω βαρεθεί να πεθαίνω, εξαιτίας ενός ευνουχισμένου μαλακοπίτουρα!	msg/SK	142	AU. Du warst nicht schnell genug, ich habe beim Schneiden zittern müssen. Alles explodiert! Langsam nervt es ein wenig, wegen DIR Knalltüte sterben zu müssen!	Yth	158	AUĆ. Nie byłeś wystarczająco szybki i zadrżały mi ręce podczas cięcia. Wszystko eksploduje! Jestem trochę zmęczony ciągłym umieraniem z powodu współpracy z fajtłapą!	PS2 SP	165	Ouch. Inti ma ġewx mgħaġġel biżżejjed għamel miegħi tremble meta I maqtugħa. Hemm tisplodi kollox! Jien daqsxejn għajjien ta 'mewt minħabba boursemolle!		152	Ouch. Inti ma kontx mgħaġġel biżżejjed li għamel miegħi tremble meta nqata '. Y'all li jisplodi! Jien ftit għajjien ta 'tkissir minħabba borża ta' studju!
Level52		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.	auto	74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Test oriġinali Franċiż. Kliem ta 'uppercases jidhru fl-isfar fil-logħba, u għalhekk żommhom uppercase. 
intro	Now player arrive in some strange laboratory. This refer to japanese nazi experiment during the second world war.	J'arrive dans un couloir lugubre. On dirait des cellules. Y'a un machin chelou, il est inerte, difforme, et couvert de sang. C'est quoi ça ?	I arrive in a gloomy corridor.\n Looks like prison cells.\n There’s a weird thing. It’s inert,\n deformed, and covered in blood.\n What the hell is it?	CLIVE CK	151	Llego a un pasillo sombrío. Parecen celdas. Hay algo raro, es inerte, deforme y cubierto de sangre. ¿Qué demonios es eso?	trocoloco miguelsky robcfg	121	Arrivo in un corridoio cupo con porte che assomigliano a celle. C'è una cosa strana in mezzo!  E`inerte, deforme e coperta di sangue. Ma cosa diavolo è?	Mr. DVG	152	Φτάνω σε έναν μακάβριο διάδρομο, με δωμάτια σαν κελιά. Βλέπω ένα παράξενο πράγμα στη μέση. Είναι ακί--νητο, παραμορφωμένο και καλυμμένο με αίμα. Τι στο διάολο είναι;	msg/SK	165	Ich erreiche einen düsteren Korridor. Sieht nach Zellen aus. Da ist ein... Ding. Wirkt leblos. Etwas unförmig und voller Blut. Was zur Hölle ist das?	Yth	149	Docieram do ponurego korytarza. Wygląda jak komórka. Coś tu jest dziwnego. Wszystko jest w bezładzie, zniekształcone i pokryte krwią. CO TO do cholery JEST?	PS3 SP2	156	Nasal fil-kuritur gloomy. ċelluli jistenna. Hemm ħaġa stramb, huwa inerti, jitilfu l-għamla u koperti fid-demm. Dak x'inhu ?		124	Nasal fil-kuritur lugabruż. Jidher qisu ċelloli. Hemm makkinarju ta 'Chelou, huwa inert, nieqes, u mgħotti bid-demm. Dak x'inhu ?
	The "monster" is toxic, player need to be not touched by him.	On dirait un laboratoire. Ils ont dû faire des expériences dégueu ici. Cette chose n'a même plus l'air humaine. Ahhh sa main droite commence à bouger...	I think it's a lab. They musta done some dirty experiments here. This thing here doesn’t even\n look human any more.\n Ah! His right hand is moving!	CLIVE CK	148	Parece un laboratorio. Tuvieron que hacer experimentos horribles. Esta cosa ya no parece humana. ¡Ahhh! Su mano derecha empieza a moverse...	trocoloco miguelsky robcfg	140	Sembra un laboratorio. Hanno fatto degli strani esperimenti qui. Questa cosa non sembra neanche più umana. Ahhh! La sua mano destra inizia a muoversi...	Mr. DVG	152	Μοιάζει με εργαστήριο. Μάλλον γίνονταν κάποια σιχαμένα πειράματα εδώ. Το πράγμα πλέον δεν θυμίζει καν άνθρωπο. Αργκχ, το δεξί του χέρι αρχίζει να κινείται...	msg/SK	157	Scheint ein Labor zu sein. Hier finden wohl finstere Experimente statt. Das Ding sieht nicht wirklich menschlich aus. Aah! Seine rechte Hand bewegt sich...	Yth	155	To wygląda na jakieś laborato--rium. Musieli tu robić jakieś taj--ne doświadczenia. To COŚ nawet nie wygląda już na człowieka. AH! TO zaczyna ruszać prawą ręką!	PS3 SP2	160	Jidher qisu laboratorju. Huma kellhom jagħmlu disgusting esperjenza hawn. Din ħaġa lanqas ma tfittex bniedem. Ahhh lemin tiegħu jibda jiċċaqlaq ...		147	Jidher qisu laboratorju. Huma kellhom jagħmlu esperjenzi moħbija hawn. Din il-ħaġa lanqas biss tidher umana. Ahhh lemin tiegħu jibda jiċċaqlaq ...
		Il lève la main vers moi. Je vais devoir l'éviter.\nREUSSIS LA SEQUENCE !	He raises his hand toward me.\n I will have to avoid it.\n\nPASS THE SEQUENCE	CLIVE CK	77	Levanta la mano hacia mí. Voy a tener que evitarlo.\nPASA LA SECUENCIA	miguelsky robcfg trocoloco	70	Alza la sua mano verso di me. Dovrò evitarla.\nESEGUI LA SEQUENZA!	Mr. DVG	66	Υψωνει το χέρι του καταπάνω μου. Πρέπει να το αποφύγω πάση θυσία.\nΠΕΡΝΑ ΤΗΝ ΑΚΟΛΟΥΘΙΑ	msg/SK	86	Es streckt seine Hand in meine Richtung. Ich sollte ausweichen.\nBEENDE DIE SEQUENZ	Yth	83	To monstrum wyciąga swoją rękę w moją stronę. Muszę zrobić unik.\nWYKONAJ SEKWENCJĘ!	PS2 SP	84	Huwa jqajjem naħa tiegħu lili. I ser ikollhom biex jevitaw dan. \ SEKWENZA NREUSSIS!		84	Huwa jqajjem idejk lili. I se jkollhom jevitaw dan. \ Nreusis Is-sekwenza!
		Ca a été juste mais j'ai EVITE sa main. Sa peau est comme infectée. Faut que je reste hors de portée de ce sac à merde. Il bouge l'autre main !!!!!	Close one! Just managed to AVOID his hand. His skin is infected.\n I have to stay out of reach\n of this shit bag...\n His other hand is moving!	CLIVE CK	144	Por un pelo, pero EVITO su mano. Su piel está como infectada. Tengo que mantenerme fuera del alcance de este saco de mierda. ¡¡Ahora mueve la otra mano!!	miguelsky robcfg trocoloco	153	E`andata bene, ho EVITATO la sua mano. La sua pelle è infetta. Devo stare fuori dalla portata di questo sacco di merda. Ora muove l'altra mano!	Mr. DVG	143	Με σημάδεψε καλά, αλλά ΑΠΕΦΥΓΑ το χέρι του. Το δέρμα του είναι μολυσμένο. Πρέπει να μείνω μακριά από αυτό το σκατόπλασμα. Κουνάει και το άλλο χέρι!!!!	msg/SK	150	Der Hand AUSZUWEICHEN dürfte richtig gewesen sein. Die Haut sieht irgendwie... toxisch aus. Ich sollte auf Abstand bleiben... Da, es bewegt die andere Hand!	Yth	156	Było blisko, ale udało mi się UNIKNĄĆ zetknęcia z nim. Jego skó--ra jest ZAINFEKOWANA. Muszę pozostać poza zasięgiem tego ohydnego pot--wora. AHH! Atakuje drugą ręką!	PS3 SP2	166	Dan kien id-dritt imma I evitati naħa tiegħu. ġilda tiegħu huwa infettat. I jkollhom joqgħodu barra mill-firxa ta 'dan scumbag. Jiċċaqlaq-naħa l-oħra !!!!!		155	Kien biss imma nevita l-idejn tiegħu. Il-ġilda tiegħu hija infettata. Irrid nibqa '' il bogħod minn din il-borża shit. Huwa jċaqlaq l-ieħor !!!!!
		Il lève à nouveau la main, je dois l'éviter...\nREUSSIS LA SEQUENCE !	He's raising his hand again.\n I must avoid it...\n\nPASS THE SEQUENCE	CLIVE CK	70	Vuelve a levantar la mano, tengo que evitarlo...\n¡PASA LA SECUENCIA!	miguelsky robcfg trocoloco	69	Alza di nuovo la mano, devo evitarla...\nESEGUI LA SEQUENZA!	Mr. DVG	60	Σηκώνει ξανά το χέρι του. Πρέπει να το αποφύγω.\nΠΕΡΝΑ ΤΗΝ ΑΚΟΛΟΥΘΙΑ	msg/SK	68	Es streckt wieder eine Hand nach mir aus. Ich muss ausweichen.\nBEENDE DIE SEQUENZ.	Yth	83	Znowu podnosi rękę!! Ah!! Za wszelką cenę muszę uniknąć kontaku z nią...\nWYKONAJ SEKWENCJĘ!	PS3 SP2	92	Huwa jqajjem naħa darb'oħra, I għandhom jevitaw ...\nREUSSIS SEKWENZA!		70	Huwa jgħolli l-idejn tiegħu mill-ġdid, irrid nevita ... \ nreusis is-sekwenza!
		OUF J'ai évité de justesse. Y'a pas la place pour éviter éternellement, faut vraiment que tu trouves un truc triple buse ou je sens qu'il va me pourrir ce truc !	PHEW, I barely made it. There’s no room to avoid him forever, so you really have to do something fucking spectacular or this creature's gonna rot me!	CLIVE CK	149	Le evito por poco. ¡No puedo estar evitando eternamente, tienes que idear algo jodidamente bueno o este me va a acabar infectando!	miguelsky robcfg trocoloco	130	PHEW! Ce l'ho fatta a malapena. Non c'è spazio per evitarlo sempre. Devo trovare un modo per eliminare questa cosa prima che marcisca!	Mr. DVG	134	Φιου, ίσα που τα κατάφερα. Δεν θα μπορώ να το αποφεύγω κάθε φορά, οπότε πρέπει να βρεις οπωσδήποτε κάποιο κόλπο, βλαμμένε, αλλιώς θα γίνω κι εγώ σαν κι αυτό!	msg/SK	157	PUH. Gerade so. Hier ist zu wenig Platz, um lange auf Entfer-\nnung bleiben zu können. Du brauchst einen Geistesblitz, oder ich werde hier von dem Ding weggeätzt.	Yth	162	UFF, mało brakowało! Nie ma tu miejsca, aby uciekać mu dłużej! Naprawdę trzeba szybko znaleźć jakiś dobry sposób zanim ta kreatura czymś mnie zainfekuje!	PS2 SP	153	Phew I dejjaq evitati. M'hemm l-ebda kamra li jevitaw dejjem, int verament għandek issib ponta żennuna tripla jew inħoss li se rot lili dan il-għalf!		149	Ouf i evitat b'mod strett. M'hemm l-ebda mod biex jiġi evitat eternament, verament ikollhom isibu tripla triplu jew inħoss li se taħsir din il-ħaġa!
		Y'a une vieille seringue sur le sol. Je roule et je la ramasse. Je suis juste à côté de lui, va falloir ALLER VITE là.	There is an old syringe on the floor. I roll and pick it up. I am right next to the creatue - I'll have to BE QUICK now.	CLIVE CK	120	Hay una vieja jeringa en el suelo. Ruedo y la recojo. Estoy justo a su lado, tendrás que SER RÁPIDO.	miguelsky robcfg trocoloco	100	C'è una vecchia siringa sul pavimento. Rotolo e la raccolgo. Sono proprio accanto a lui. Ora dovrò ESSERE VELOCE!	Mr. DVG	113	Υπάρχει μια παλιά σύριγγα στο πάτωμα. Με μια τούμπα τη μαζεύω. Είμαι ακριβώς δίπλα στο πλάσμα, θα πρέπει να κινηθώ ΑΜΕΣΑ.	msg/SK	121	Auf dem Boden liegt eine ranzige Spritze. Ich rolle mich rüber und hebe sie auf. Ich bin direkt neben dem Ding, jetzt muss es SCHNELL GEHEN!	Yth	140	Widzę jakieś stare strzykawki na podłodze. Robię przewrót i jedną podnoszę. Jestem tuż obok niego. Trzeba teraz DZIAŁAĆ! Szybko!	PS2 SP	128	Hemm xi siringa antiki fuq l-art. I ride u jien qabad it up. Jien dritt li jmiss lilu, se jkollhom GO FAST hemmhekk.		116	Hemm siringa antika fuq l-art. I ride u I pick it up. Jien dritt ħdejh, ikollu jmur malajr hemmhekk.
		OUI. Je lui plante la seringue dans le crâne, en faisant gaffe de pas me faire toucher. Il hurle et commence à fondre. C'est ignoble.	YES. I stick the syringe in his head, being careful not to be touched. He screams and starts melting. It’s despicable.	CLIVE CK	118	SI. Le clavo la jeringa en el cráneo, con cuidado de que no me toque. Chilla y empieza a derretirse. Es repugnante.	miguelsky robcfg trocoloco	115	SI`! Gli conficco la siringa nel cranio, facendo attenzione a non farmi toccare. Urla e inizia a sciogliersi. E`orribile!	Mr. DVG	121	ΝΑΙ. Του καρφώνω τη σύριγγα στο κεφάλι, προσέχοντας να μην το ακουμπήσω. Ουρλιάζει και αρχίζει να λιώνει. Πόσο ελεεινό!	msg/SK	119	JA. Ich ramme ihm die Spritze in den Kopf und achte darauf, nicht berührt zu werden. Es brüllt und beginnt zu schmelzen. Es ist ekelhaft.	Phoenix Yth	137	DOBRA, wbijam mu strzykawkę w czaszkę uważając, by go nie dotknąć. Wyje i zaczyna się... TOPIĆ. To naprawdę okropny widok....	PS2 SP2	125	IVA. I pjanti lilu-siringa fil-kranju, tagħmel gaffe ma jagħmlu me jħossu. Huwa screams u jibda jdub. Huwa jistmellu.		117	Iva. I pjanti-siringa fil-kranju, tort ma jagħmlu me touch. Hu screams u jibda jiddewweb. Huwa ignoble.
		On dirait des armes bactériologiques. L'unité 731 travaillait là-dessus pendant la seconde guerre mondiale. Je pensais que c'était fini tout ça.	It looks like biological weapons. Unit 731 was working\n on it during World War II.\n I thought it was over.	CLIVE CK	108	Parecen armas bacteriológicas. La Unidad 731 trabajó en esto durante la Segunda Guerra Mundial. Creía que eso había terminado.	miguelsky robcfg trocoloco	126	Sembrano armi batteriologiche. L'Unità 731 ci stava lavorando durante la Seconda Guerra Mondiale. Pensavo fosse finita!	Mr. DVG	119	Μοιάζει με βιολογικό όπλο. Η Μονάδα 731 τα ερευνούσε κατά τον Β' Παγκόσμιο Πόλεμο. Νόμιζα οτι αυτή η ιστορία είχε τελειώσει.	msg/SK	124	Es sieht mir nach einer Biowaffe aus. Die japanische Einheit 731 hat im Zweiten Weltkrieg an so was gearbeitet. Ich dachte, das wäre Geschichte.	Yth	144	Wygląda to na jakąś broń biolo--giczna. Unit731 pracował nad czymś takim podczas II wojny światowej. Myślałem, że to wszystko to już dawno zapomniana przeszłość...	PS2 SP2	163	Jistenna armi batterjoloġiċi. 731 L-unità ħadmu fuqu matul it-Tieni Gwerra Dinjija. Ħsibt li kien madwar issa.		110	Loading...
deaths		J'essaie de contourner cette merde et d'aller le plus vite possible vers la porte du fond. Mais quand je passe à côté, il me touche et je M'EFFONDRE...	I’m trying to get past this twat and get to the back door as fast as I can. But, as I pass by, he touches me and I COLLAPSE...	CLIVE CK	126	Intento rodear esta mierda y llegar lo más rápido posible a la puerta de atrás. Pero al pasar junto a él, me toca y me DESPLOMO...	miguelsky robcfg trocoloco	130	Sto cercando di aggirare questa merda e andare più veloce che posso verso la porta sul retro. Quando mi avvicino a lui mi tocca... e poi COLLASSO...	Mr. DVG	148	Πάω γύρω γύρω από αυτό το σίχαμα και φτάνω στην πίσω πόρτα όσο πιο γρήγορα μπορώ. Αλλά με αγγίζει και ΣΩΡΙΑΖΟΜΑΙ...	msg/SK	115	Ich versuche, schnell um diesen Fuck herum zu kommen und hinten die Tür zu erreichen. Als ich halb vorbei bin, berührt es mich, und ich KOLLABIERE sofort...	Yth	156	Staram się unikać tego zmodyfikowanego czegoś i iść jak najszybciej do drzwi z tyłu. Jednak kiedy go mijam, dotyka mnie i UPADAM natychmiast...	PS2 SP	143	I jippruvaw jevitaw dan ħażin u jmorru malajr kemm jista 'jkun lejn il-bieb ta' wara. Imma meta I jgħaddu, li tmiss lili u jien xxejjen ...		139	Loading...
		Je fais demi-tour et je tente d' ouvrir la porte blindée. Y'a une substance sanglante sur la porte... A son contact, je commence à suffoquer et je M'ECROULE...	I turn around and try to open the armored door. There’s a bloody substance on the door... As I touch it I begin to suffocate and I FALL to the floor...	CLIVE CK	151	Doy la vuelta y trato de abrir la puerta blindada. Hay una sustancia sanguinolenta en la puerta... A su contacto, empiezo a asfixiarme y COLAPSO...	miguelsky robcfg trocoloco	147	Mi giro e provo ad aprire la porta blindata. C'è una sostanza sanguinolenta sulla porta... Al suo tocco, comincio a soffocare e CROLLO...	Mr. DVG	137	Γυρνάω από την άλλη και προσπαθώ να ανοίξω την πόρτα ασφαλείας. Βλέ--πω μια ουσία σαν αίμα στην πόρτα..με το που την αγγίζω, μου κόβεται η ανάσα και ΣΩΡΙΑΖΟΜΑΙ...	msg/SK	162	Ich drehe mich um und versuche die gepanzerte Tür zu öffnen. Da ist eine blutige Substanz an der Tür... Bei Berührung beginne ich zu ersticken und FALLE...	Phoenix Yth	155	Odwracam się i próbuję otworzyć zbrojone drzwi. Jest na nich jakaś dziwna, krwawa substancja... Po kontakcie z tym czymś zaczynam się dusić i UPADAM na podłogę...	PS2 SP	162	I jdur u nipprova biex tiftaħ il-bieb tas-sigurtà. Hemm sustanza imdemmi fuq il-bieb ... Fuq kuntatt, nibda biex suffocate u I kollass ...		138	Ndawwar u nipprova tiftaħ il-bieb korazzat. Hemm sustanza imdemmi fuq il-bieb ... f'kuntatt, jien jibdew suffocate u jien wajers ...
		NON. J'ai pas été assez adroit, sa main me touche. Je me sens mal et je M'EFFONDRE. Y'a vraiment quelque chose de malsain ici.	NO. I was not skilled enough, his hand touches me. I feel sick and I COLLAPSE. There is something really unhealthy here.	CLIVE CK	120	NO. No soy lo suficientemente hábil y su mano me toca. Me siento mal y ME DESMORONO. Hay algo realmente malsano aquí.	miguelsky robcfg trocoloco	117	NO! Non sono stato abbastanza veloce e la sua mano mi tocca. Mi sento male e COLLASSO. C'è davvero qualcosa di malsano qui!	Mr. DVG	123	ΟΧΙ. Δεν ήμουν αρκετά επιδέξιος. Το χέρι του με αγγίζει, αισθάνομαι απαίσια και ΚΑΤΑΡΡΕΩ. Αυτό το μέρος είναι σκέτο μίασμα.	msg/SK	123	NEIN. Ich war nicht geschickt genug, seine Hand berührt mich. Mir wird schwindelig und ich SACKE ZUSAMMEN. Da ist etwas sehr Ungesundes an ihm.	Phoenix Yth	143	CHOLERA, nie byłem wystarczająco sprytny i jego ręka dotyka mnie. Czuję mdłości i UPADAM natychmiast. Jest tutaj coś naprawdę niezdrowego i złego...	PS2 SP	148	NO. I ma kienx biżżejjed għaqlija, naħa tiegħu tmiss lili. I iħossuhom ħażin u I xxejjen lili. Hemm verament xi ħaġa ħażina hawn.		129	Le. I ma kienx biżżejjed adroit, idejn tiegħu tmiss lili. Inħossni ħażin u naħdem. Hemm verament xi ħaġa ħżiena għas-saħħa hawn.
